X,Y,NAME,POP_EST
-61.2033532663,13.2162159193,St. Vin. and Gren.,104574
-66.1688403301,7.1277315578,Venezuela,26814843
-64.5028631938,18.5098841292,British Virgin Is.,24491
-64.7976544503,17.9805456063,U.S. Virgin Is.,109825
106.3009352209,16.6421827283,Vietnam,86967524
167.7008441409,-16.2012679197,Vanuatu,218519
-177.0589960231,-13.7381019608,Wallis and Futuna Is.,15289
32.9339948603,34.6318132849,Akrotiri,7850
-172.161249299,-13.754595654,Samoa,219998
47.590602147,15.90542132,Yemen,23822783
25.0873644352,-29.0010321783,South Africa,49052489
27.7742123348,-13.4601100184,Zambia,11862740
29.8518846206,-19.00253671,Zimbabwe,12619600
